estacion,anno,mes,temp_max_c,temp_min_c,precipitacion_mm,humedad_relativa_pct
Barranquilla,2018,1,34.2,24.1,8.3,68
Barranquilla,2018,2,35.1,24.5,4.1,65
Barranquilla,2018,3,36.4,25.2,3.8,62
Barranquilla,2018,4,36.8,25.9,14.7,64
Barranquilla,2018,5,35.3,25.6,89.4,72
Barranquilla,2018,6,34.7,25.1,112.6,76
Barranquilla,2018,7,34.2,24.8,68.3,74
Barranquilla,2018,8,34.5,24.9,74.1,75
Barranquilla,2018,9,33.8,24.7,148.2,80
Barranquilla,2018,10,33.1,24.3,162.5,82
Barranquilla,2018,11,33.4,24.0,98.7,79
Barranquilla,2018,12,34.1,23.6,18.2,70
Barranquilla,2019,1,34.0,23.8,6.1,67
Barranquilla,2019,2,35.3,24.3,2.9,63
Barranquilla,2019,3,36.7,25.0,5.2,61
Barranquilla,2019,4,37.1,25.8,11.3,63
Barranquilla,2019,5,35.6,25.4,95.8,73
Barranquilla,2019,6,34.9,25.0,118.3,77
Barranquilla,2019,7,34.4,24.6,72.1,74
Barranquilla,2019,8,34.7,24.8,79.4,76
Barranquilla,2019,9,34.0,24.5,155.6,81
Barranquilla,2019,10,33.3,24.1,170.2,83
Barranquilla,2019,11,33.6,23.8,104.3,80
Barranquilla,2019,12,34.3,23.4,14.7,69
Barranquilla,2020,1,33.8,23.6,9.4,68
Barranquilla,2020,2,34.9,24.1,3.5,64
Barranquilla,2020,3,36.2,24.8,4.6,61
Barranquilla,2020,4,36.9,25.6,16.8,65
Barranquilla,2020,5,35.1,25.2,102.3,74
Barranquilla,2020,6,34.5,24.8,124.7,78
Barranquilla,2020,7,34.0,24.4,65.9,73
Barranquilla,2020,8,34.3,24.6,81.2,76
Barranquilla,2020,9,33.6,24.3,161.4,82
Barranquilla,2020,10,33.0,23.9,175.8,84
Barranquilla,2020,11,33.2,23.7,112.1,81
Barranquilla,2020,12,33.9,23.3,21.3,71
Barranquilla,2021,1,34.4,24.0,7.2,67
Barranquilla,2021,2,35.5,24.4,3.1,63
Barranquilla,2021,3,36.9,25.1,4.0,60
Barranquilla,2021,4,37.3,25.9,13.4,63
Barranquilla,2021,5,35.8,25.5,91.2,72
Barranquilla,2021,6,35.1,25.1,108.9,76
Barranquilla,2021,7,34.6,24.7,69.8,73
Barranquilla,2021,8,34.9,24.9,76.5,75
Barranquilla,2021,9,34.1,24.6,151.3,80
Barranquilla,2021,10,33.4,24.2,165.7,82
Barranquilla,2021,11,33.7,23.9,101.4,79
Barranquilla,2021,12,34.4,23.5,16.9,69
Soledad,2018,1,33.8,23.7,9.1,69
Soledad,2018,2,34.7,24.1,5.0,66
Soledad,2018,3,36.0,24.9,4.3,63
Soledad,2018,4,36.4,25.5,16.2,65
Soledad,2018,5,34.9,25.2,92.7,73
Soledad,2018,6,34.3,24.7,115.4,77
Soledad,2018,7,33.8,24.4,70.1,75
Soledad,2018,8,34.1,24.5,76.8,76
Soledad,2018,9,33.4,24.3,151.9,81
Soledad,2018,10,32.7,23.9,165.2,83
Soledad,2018,11,33.0,23.6,101.4,80
Soledad,2018,12,33.7,23.2,19.8,71
Soledad,2019,1,33.6,23.4,7.5,68
Soledad,2019,2,34.9,23.9,3.6,64
Soledad,2019,3,36.3,24.6,5.8,62
Soledad,2019,4,36.7,25.4,12.8,64
Soledad,2019,5,35.2,25.0,98.3,74
Soledad,2019,6,34.5,24.6,121.7,78
Soledad,2019,7,34.0,24.2,74.6,75
Soledad,2019,8,34.3,24.4,82.1,77
Soledad,2019,9,33.6,24.1,158.3,82
Soledad,2019,10,32.9,23.7,173.5,84
Soledad,2019,11,33.2,23.4,107.8,81
Soledad,2019,12,33.9,23.0,16.2,70
Soledad,2020,1,33.4,23.2,10.8,69
Soledad,2020,2,34.5,23.7,4.2,65
Soledad,2020,3,35.8,24.4,5.1,62
Soledad,2020,4,36.5,25.2,18.3,66
Soledad,2020,5,34.7,24.8,105.6,75
Soledad,2020,6,34.1,24.4,128.2,79
Soledad,2020,7,33.6,24.0,68.4,74
Soledad,2020,8,33.9,24.2,84.7,77
Soledad,2020,9,33.2,23.9,164.8,83
Soledad,2020,10,32.6,23.5,179.1,85
Soledad,2020,11,32.8,23.3,115.6,82
Soledad,2020,12,33.5,22.9,23.7,72
Soledad,2021,1,34.0,23.6,8.3,68
Soledad,2021,2,35.1,24.0,3.8,64
Soledad,2021,3,36.5,24.7,4.5,61
Soledad,2021,4,36.9,25.5,14.9,64
Soledad,2021,5,35.4,25.1,94.5,73
Soledad,2021,6,34.7,24.7,112.3,77
Soledad,2021,7,34.2,24.3,72.3,75
Soledad,2021,8,34.5,24.5,79.2,76
Soledad,2021,9,33.7,24.2,154.6,81
Soledad,2021,10,33.0,23.8,169.0,83
Soledad,2021,11,33.3,23.5,104.7,80
Soledad,2021,12,34.0,23.1,18.4,70
Malambo,2018,1,33.5,23.4,10.2,70
Malambo,2018,2,34.4,23.8,5.8,67
Malambo,2018,3,35.7,24.6,4.9,64
Malambo,2018,4,36.1,25.2,17.6,66
Malambo,2018,5,34.6,24.9,95.4,74
Malambo,2018,6,34.0,24.4,118.1,78
Malambo,2018,7,33.5,24.1,72.8,76
Malambo,2018,8,33.8,24.2,79.5,77
Malambo,2018,9,33.1,24.0,155.3,82
Malambo,2018,10,32.4,23.6,168.7,84
Malambo,2018,11,32.7,23.3,104.1,81
Malambo,2018,12,33.4,22.9,21.5,72
Malambo,2019,1,33.3,23.1,8.9,69
Malambo,2019,2,34.6,23.6,4.3,65
Malambo,2019,3,36.0,24.3,6.4,62
Malambo,2019,4,36.4,25.1,14.2,65
Malambo,2019,5,34.9,24.7,101.0,75
Malambo,2019,6,34.2,24.3,124.4,79
Malambo,2019,7,33.7,23.9,77.3,76
Malambo,2019,8,34.0,24.1,84.8,78
Malambo,2019,9,33.3,23.8,161.0,83
Malambo,2019,10,32.6,23.4,176.2,85
Malambo,2019,11,32.9,23.1,110.5,82
Malambo,2019,12,33.6,22.7,17.8,71
Malambo,2020,1,33.1,22.9,11.7,70
Malambo,2020,2,34.2,23.4,4.9,66
Malambo,2020,3,35.5,24.1,5.7,63
Malambo,2020,4,36.2,24.9,19.7,67
