id_registro,fecha_obs,especie,nombre_comun,clase,orden,municipio,localidad,ecosistema,n_individuos,longitud,latitud,observador,estado_conservacion,fuente
REG001,2023-03-12,Iguana iguana,Iguana verde,Reptilia,Squamata,Barranquilla,Parque Cultural del Caribe,bosque_seco,3,-74.7964,10.9878,Pérez C.,LC,SiB Colombia
REG002,15/03/2023,Dendrocygna autumnalis,Pijije aliblanco,Aves,Anseriformes,Malambo,Ciénaga del Convento,humedal,12,-74.7821,10.8654,Gómez M.,LC,SiB Colombia
REG003,2023-03-18,Coragyps atratus,Gallinazo negro,Aves,Cathartiformes,Soledad,Área periurbana Soledad,urbano,5,-74.7667,10.9169,Pérez C.,LC,SiB Colombia
REG004,20/03/2023,Amazona amazonica,Loro real,Aves,Psittaciformes,Puerto Colombia,Playa Salgar,bosque_seco,2,-74.9561,10.9945,Martínez L.,LC,SiB Colombia
REG005,2023-03-22,Caiman crocodilus,Babilla,Reptilia,Crocodilia,Sabanalarga,Ciénaga de Sabanalarga,humedal,1,-74.9214,10.6354,Ramírez J.,LC,SiB Colombia
REG006,25/03/2023,Brotogeris jugularis,Periquito de gorjiamarillo,Aves,Psittaciformes,Barranquilla,Jardín Botánico de Barranquilla,bosque_seco,8,-74.8142,10.9921,Gómez M.,LC,SiB Colombia
REG007,2023-04-01,Iguana iguana,Iguana verde,Reptilia,Squamata,Baranoa,Finca La Esperanza,bosque_seco,4,-74.9207,10.8012,Torres A.,LC,SiB Colombia
REG008,03/04/2023,Ardea alba,Garza real,Aves,Pelecaniformes,Campo de la Cruz,Ciénaga Grande de Santa Marta,humedal,21,-74.8869,10.3654,Barrios R.,LC,SiB Colombia
REG009,2023-04-05,Vanellus chilensis,Pellar común,Aves,Charadriiformes,Barranquilla,Ciénaga de Mallorquín,humedal,9,-74.8365,11.0241,Pérez C.,LC,SiB Colombia
REG010,08/04/2023,Dasypus novemcinctus,Armadillo de nueve bandas,Mammalia,Cingulata,Repelón,Ciénaga de Luruaco,bosque_seco,1,-75.1236,10.5012,Martínez L.,NT,SiB Colombia
REG011,2023-04-10,,Tortuga icotea,Reptilia,Testudines,Manatí,Ciénaga de Manatí,humedal,3,-74.9645,10.4369,Ramírez J.,VU,SiB Colombia
